Beak_depth_N,Beak_depth_Y
8.30,9.80
7.50,8.50
8.00,10.30
10.60,9.90
11.20,8.80
9.10,10.10
9.50,8.20
10.50,8.00
8.40,8.90
8.60,9.10
9.20,9.80
8.80,10.10
8.50,8.55
8.00,9.30
9.70,10.00
8.40,10.70
7.90,9.10
9.30,8.80
7.70,10.40
8.50,10.70
8.20,9.15
9.70,11.20
10.30,10.50
10.20,9.70
8.90,8.90
9.60,10.10
7.85,8.90
9.60,9.60
9.80,8.50
8.80,10.08
9.00,9.45
9.10,8.31
9.20,9.80
8.80,9.70
9.20,10.38
8.80,10.61
9.40,8.38
8.30,10.78
8.40,11.01
10.20,10.68
9.30,8.78
10.20,10.28
10.50,10.86
9.00,11.21
9.80,9.48
9.30,9.31
7.60,9.86
10.50,9.28
9.70,9.85
8.60,10.00
