Order,Family,Name,Biotic,Function,EPT,North,South
Megaloptera,Corydalidae,hellgrammites,0,P,0,0.00,0.06
Plecoptera,Perilidae,stoneflies,1,P,1,0.00,0.22
Ephemeroptera,Ephemerellidae,mayflies,1,C,1,0.00,0.02
Odonata,Anisoptera,dragonflies,3,P,0,0.02,0.18
Diptera,Tipulidae,craneflies,3,S,0,0.02,0.12
Crustacea,Amphipoda,scuds,4,C,0,0.06,0.10
Coleoptera,Psephenidae,water_pennies,4,G,0,0.00,0.02
Trichoptera,Hydropsychidae,caddisflies,4,F,1,0.30,0.12
Diptera,Simuliidae,black_flies,6,F,0,0.22,0.10
Gastropoda,Mollusca,snails,7,G,0,0.16,0.02
Bivalvia,Mollusca,clams,8,F,0,0.08,0.02
Annelida,Oligochaeta,aquatic_worms,8,C,0,0.14,0.02
