Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon
1,North,9,22,5,43,16,1.83
2,North,8,31,4.5,50,18,1.85
3,North,9,23.5,4.9,32,15,1.83
4,North,9,20,4.54,36,16,1.96
5,North,7,26,4.55,44,13,2.03
6,North,7,22,5,47,12,1.79
7,North,8,24,4.24,49,16,1.91
8,North,9,21,5.01,50,12,2
9,North,9,25,5.2,44,14,1.82
10,North,9,30,4.6,33,13,1.79
11,North,8,20,4.7,35,12,1.77
12,North,8,25,4.5,46,14,2.06
1,South,11,31,5.28,40,18,2.12
2,South,9,32,5.06,42,17,1.8
3,South,10,28,5.11,40,18,2.12
4,South,8,29,4.98,46,19,2
5,South,10,25,4.61,32,15,2.08
6,South,9,26,5.42,36,14,1.97
7,South,10,28,4.5,42,18,2.01
8,South,8,24,4.7,32,18,1.9
9,South,10,33,4.9,48,19,2.05
10,South,9,34,5.02,40,15,2.12
11,South,10,30,4.55,30,17,2.03
12,South,9,32,5.1,48,17,2.02
