Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
1,North,8,0.36,5.08,0.36,0.12,1.89,2005
2,North,9,0.36,5.12,0.44,0.16,1.99,2005
3,North,8,0.40,4.84,0.60,0.00,1.77,2005
4,North,7,0.64,5.32,0.72,0.04,1.60,2005
5,North,8,0.44,5.24,0.52,0.08,1.66,2005
6,North,7,0.32,5.20,0.68,0.04,1.59,2005
7,North,7,0.36,4.72,0.52,0.12,1.78,2005
8,North,8,0.32,5.42,0.40,0.00,1.36,2005
9,North,7,0.37,5.04,0.48,0.07,1.77,2005
10,North,5,0.40,5.12,0.56,0.08,1.40,2005
11,North,8,0.52,5.08,0.82,0.04,1.53,2005
12,North,8,0.48,5.20,0.02,0.02,1.78,2005
13,North,6,0.16,4.88,0.64,0.00,1.93,2005
14,North,4,0.70,4.90,0.80,0.00,0.94,2005
15,North,5,0.10,5.10,0.60,0.20,1.36,2005
16,North,5,0.50,4.30,0.60,0.10,1.47,2005
17,North,6,0.30,5.10,0.40,0.10,1.70,2005
18,North,5,0.40,4.50,0.40,0.00,1.47,2005
19,North,6,0.10,5.30,0.30,0.00,1.70,2005
20,North,4,0.50,4.90,0.70,0.20,1.22,2005
21,North,6,0.30,5.20,0.40,0.00,1.70,2005
22,North,7,0.20,5.00,0.30,0.10,1.89,2005
23,North,6,0.40,5.00,0.70,0.10,1.61,2005
24,North,5,0.20,6.50,0.50,0.00,1.56,2005
25,North,5,0.50,5.00,0.70,0.10,1.36,2005
26,North,6,0.36,5.72,0.52,0.08,1.60,2005
27,North,7,0.44,5.16,0.72,0.04,1.66,2005
28,North,7,0.40,4.84,0.68,0.08,1.59,2005
29,North,7,0.32,5.48,0.48,0.08,1.80,2005
30,North,7,0.40,5.40,0.68,0.04,1.62,2005
31,North,8,0.44,4.88,0.52,0.08,1.71,2005
32,North,7,0.32,5.36,0.52,0.04,1.70,2005
33,North,7,0.28,4.92,0.40,0.04,1.79,2005
34,North,7,0.40,4.92,0.64,0.04,1.62,2005
35,North,7,0.30,5.23,0.57,0.04,1.68,2005
36,North,6,0.32,5.28,0.52,0.00,1.66,2005
37,North,7,0.28,5.68,0.44,0.08,1.80,2005
38,North,7,0.44,5.04,0.56,0.12,1.66,2005
39,North,7,0.38,5.04,0.54,0.00,1.73,2005
40,North,5,0.44,5.16,0.80,0.00,1.26,2005
41,North,6,0.24,5.32,0.40,0.04,1.57,2005
42,North,6,0.44,5.20,0.52,0.12,1.55,2005
43,North,8,0.32,5.28,0.52,0.08,1.87,2005
44,North,7,0.32,5.12,0.48,0.04,1.78,2005
45,North,7,0.32,5.84,0.52,0.04,1.69,2005
46,North,7,0.36,5.64,0.60,0.04,1.66,2005
47,North,9,0.36,4.84,0.68,0.08,1.69,2005
48,North,7,0.32,5.12,0.52,0.08,1.78,2005
49,North,6,0.36,5.88,0.60,0.00,1.59,2005
50,North,7,0.44,4.92,0.64,0.08,1.62,2005
51,North,8,0.32,4.64,0.28,0.20,1.97,2005
52,North,8,0.36,4.96,0.40,0.08,1.90,2005
53,North,9,0.30,4.56,0.37,0.04,1.97,2005
54,North,8,0.44,4.36,0.48,0.16,1.53,2005
55,North,5,0.56,3.84,0.24,0.32,1.55,2005
56,North,8,0.40,4.68,0.28,0.28,1.88,2005
57,North,7,0.36,5.20,0.60,0.00,1.72,2005
58,North,5,0.44,5.32,0.40,0.00,1.41,2005
59,North,6,0.44,5.48,0.68,0.04,1.51,2005
60,North,8,0.31,5.24,0.48,0.06,1.90,2005
61,North,7,0.16,5.00,0.56,0.04,1.74,2005
62,North,7,0.48,5.20,0.64,0.04,1.58,2005
63,North,8,0.20,5.32,0.40,0.04,1.95,2005
64,North,7,0.24,5.80,0.44,0.08,1.81,2005
65,North,8,0.32,4.92,0.40,0.16,1.83,2005
1,South,9,0.40,2.76,0.28,0.48,2.04,2005
2,South,8,0.52,2.88,0.32,0.32,1.92,2005
3,South,10,0.52,2.84,0.28,0.40,2.10,2005
4,South,6,0.64,3.24,0.40,0.28,1.70,2005
5,South,9,0.52,3.12,0.36,0.36,1.94,2005
6,South,9,0.68,2.48,0.40,0.56,1.73,2005
7,South,8,0.52,3.04,0.36,0.40,1.87,2005
8,South,8,0.56,3.56,0.48,0.24,1.89,2005
9,South,9,0.44,3.08,0.28,0.44,1.93,2005
10,South,9,0.60,2.36,0.20,0.56,1.81,2005
11,South,8,0.60,3.04,0.30,0.34,1.87,2005
12,South,8,0.80,2.40,0.16,0.48,1.95,2005
13,South,8,0.48,3.24,0.36,0.32,1.54,2005
