Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
1,North,7,0.30,5.25,0.50,0.05,1.73,2005
2,North,6,0.50,4.50,0.55,0.15,1.45,2005
3,North,6,0.20,5.75,0.40,0.05,1.67,2005
4,North,7,0.50,4.30,0.65,0.05,1.76,2005
5,North,7,0.40,5.85,0.55,0.05,1.60,2005
6,North,8,0.25,5.60,0.45,0.10,1.91,2005
7,North,5,0.45,5.35,0.70,0.00,1.54,2005
8,North,7,0.35,5.15,0.50,0.10,1.74,2005
9,North,7,0.28,5.24,0.52,0.04,1.75,2005
10,North,7,0.20,4.90,0.45,0.05,1.75,2005
11,North,7,0.20,5.35,0.65,0.15,1.65,2005
12,North,7,0.45,4.90,0.55,0.10,1.70,2005
13,North,6,0.46,5.30,0.50,0.08,1.45,2005
14,North,6,0.35,5.30,0.60,0.05,1.30,2005
15,North,5,0.50,5.30,0.70,0.05,1.33,2005
16,North,7,0.42,5.31,0.46,0.04,1.59,2005
17,North,7,0.30,5.30,0.45,0.05,1.81,2005
18,North,8,0.39,5.34,0.52,0.04,1.78,2005
19,North,6,0.30,5.30,0.40,0.10,1.71,2005
20,North,7,0.45,4.26,0.30,0.40,2.25,2005
21,North,6,0.55,4.90,0.70,0.20,1.43,2005
22,North,7,0.35,4.80,0.40,0.20,1.96,2005
23,North,7,0.40,5.00,0.65,0.00,1.65,2005
24,North,7,0.35,5.45,0.50,0.00,1.91,2005
25,North,5,0.45,5.70,0.55,0.05,1.37,2005
26,North,6,0.35,5.35,0.40,0.10,1.62,2005
27,North,7,0.50,5.20,0.55,0.05,1.61,2005
28,North,8,0.25,5.15,0.50,0.20,1.97,2005
29,North,4,0.45,5.15,0.45,0.15,1.32,2005
30,North,7,0.35,5.45,0.50,0.50,1.74,2005
31,North,7,0.35,5.40,0.40,0.10,1.70,2005
32,North,9,0.45,6.70,0.50,0.10,1.97,2005
33,North,7,0.25,5.20,0.35,0.10,1.70,2005
34,North,7,0.45,4.75,0.55,0.05,1.72,2005
35,North,9,0.30,4.75,0.35,0.20,2.10,2005
36,North,8,0.30,5.00,0.45,0.10,1.92,2005
37,North,5,0.42,5.79,0.68,0.00,1.41,2005
38,North,7,0.30,5.05,0.50,0.10,1.78,2005
39,North,5,0.45,5.70,0.55,0.05,1.37,2005
40,North,7,0.25,5.20,0.40,0.05,1.79,2005
41,North,7,0.45,5.40,0.55,0.00,1.65,2005
42,North,7,0.45,5.20,0.50,0.00,1.60,2005
43,North,6,0.45,4.25,0.65,0.05,1.39,2005
44,North,6,0.05,4.50,0.25,0.15,1.53,2005
45,North,7,0.30,5.10,0.45,0.10,1.81,2005
46,North,6,0.35,4.65,0.50,5.00,1.62,2005
47,North,7,0.55,4.75,0.75,0.10,1.39,2005
48,North,6,0.64,4.82,0.55,0.05,1.32,2005
49,North,7,0.35,5.60,0.40,0.15,1.71,2005
50,North,7,0.30,4.85,0.50,0.05,1.78,2005
51,North,9,0.30,4.90,0.50,0.10,1.97,2005
52,North,8,0.30,5.05,0.55,0.10,1.84,2005
53,North,7,0.44,5.10,0.61,0.11,1.64,2005
54,North,6,0.40,5.05,0.40,0.05,1.58,2005
55,North,7,0.42,4.40,0.52,0.16,1.67,2005
56,North,6,0.25,5.35,0.45,0.15,1.69,2005
57,North,7,0.40,5.15,0.70,0.00,1.63,2005
58,North,6,0.48,5.05,0.62,0.00,1.52,2005
59,North,7,0.25,5.25,0.45,0.05,1.78,2005
60,North,8,0.25,5.40,0.20,0.35,1.96,2005
61,North,6,0.65,5.40,0.70,0.10,1.40,2005
62,North,8,0.45,4.50,0.55,0.05,1.72,2005
63,North,6,0.45,5.15,0.65,0.05,1.45,2005
64,North,6,0.21,4.85,0.25,0.15,1.72,2005
65,North,8,0.30,5.55,0.45,0.05,1.87,2005
1,South,8,0.50,3.25,0.35,0.30,1.92,2005
