Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon
3,North,8,35,5.48,52,12,1.942
4,North,9,34,5.72,58,12,1.68
5,North,10,32,5.42,50,14,1.95
6,North,10,32,5.4,48,4,1.93
9,North,8,34,5.6,56,6,1.78
11,North,10,34,5.12,52,12,2.0528
8,North,10,28,5.3,56,18,1.804
14,North,8,40,5.4,50,12,1.68
15,North,10,38,5.5,42,16,1.915
7,North,10,24,4.56,38,36,1.763
3,South,9,49,4.22,19,16,1.9447
4,South,10,54,4.66,21,14,1.77
5,South,10,58,2.83,24,10,1.28
6,South,9,54,2.87,26,24,2.06
9,South,10,58,2.6,22,18,2.3
11,South,9,54,2.86,26,6,2.195
8,South,9,46,2.54,26,12,1.99
14,South,10,52,2.6,22,14,1.77
15,South,10,38,2.96,38,12,1.865
7,South,9,49,3.14,12,30,0.782
