Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room,Section
1,North,7,0.30,5.25,0.50,0.05,1.73,2005,111
2,North,6,0.50,4.50,0.55,0.15,1.45,2005,111
3,North,6,0.20,5.75,0.40,0.05,1.67,2005,111
4,North,7,0.50,4.30,0.65,0.05,1.76,2005,111
5,North,7,0.40,5.85,0.55,0.05,1.60,2005,111
6,North,8,0.25,5.60,0.45,0.10,1.91,2005,111
7,North,5,0.45,5.35,0.70,0.00,1.54,2005,111
8,North,7,0.35,5.15,0.50,0.10,1.74,2005,111
9,North,7,0.28,5.24,0.52,0.04,1.75,2005,111
10,North,7,0.20,4.90,0.45,0.05,1.75,2005,121
11,North,7,0.20,5.35,0.65,0.15,1.65,2005,121
12,North,7,0.45,4.90,0.55,0.10,1.70,2005,121
13,North,6,0.46,5.30,0.50,0.08,1.45,2005,121
14,North,6,0.35,5.30,0.60,0.05,1.30,2005,121
15,North,5,0.50,5.30,0.70,0.05,1.33,2005,121
16,North,7,0.42,5.31,0.46,0.04,1.59,2005,121
17,North,7,0.30,5.30,0.45,0.05,1.81,2005,121
18,North,8,0.39,5.34,0.52,0.04,1.78,2005,211
19,North,6,0.30,5.30,0.40,0.10,1.71,2005,211
20,North,7,0.45,4.26,0.30,0.40,2.25,2005,211
21,North,6,0.55,4.90,0.70,0.20,1.43,2005,211
22,North,7,0.35,4.80,0.40,0.20,1.96,2005,211
23,North,7,0.40,5.00,0.65,0.00,1.65,2005,211
24,North,7,0.35,5.45,0.50,0.00,1.91,2005,211
25,North,5,0.45,5.70,0.55,0.05,1.37,2005,211
26,North,6,0.35,5.35,0.40,0.10,1.62,2005,211
27,North,7,0.50,5.20,0.55,0.05,1.61,2005,221
28,North,8,0.25,5.15,0.50,0.20,1.97,2005,221
29,North,4,0.45,5.15,0.45,0.15,1.32,2005,221
30,North,7,0.35,5.45,0.50,0.50,1.74,2005,221
31,North,7,0.35,5.40,0.40,0.10,1.70,2005,221
32,North,9,0.45,6.70,0.50,0.10,1.97,2005,221
33,North,7,0.25,5.20,0.35,0.10,1.70,2005,221
34,North,7,0.45,4.75,0.55,0.05,1.72,2005,221
35,North,9,0.30,4.75,0.35,0.20,2.10,2005,221
36,North,8,0.30,5.00,0.45,0.10,1.92,2005,311
37,North,5,0.42,5.79,0.68,0.00,1.41,2005,311
38,North,7,0.30,5.05,0.50,0.10,1.78,2005,311
39,North,5,0.45,5.70,0.55,0.05,1.37,2005,311
40,North,7,0.25,5.20,0.40,0.05,1.79,2005,311
41,North,7,0.45,5.40,0.55,0.00,1.65,2005,311
42,North,7,0.45,5.20,0.50,0.00,1.60,2005,311
43,North,6,0.45,4.25,0.65,0.05,1.39,2005,311
44,North,6,0.05,4.50,0.25,0.15,1.53,2005,311
45,North,7,0.30,5.10,0.45,0.10,1.81,2005,321
46,North,6,0.35,4.65,0.50,5.00,1.62,2005,321
47,North,7,0.55,4.75,0.75,0.10,1.39,2005,321
48,North,6,0.64,4.82,0.55,0.05,1.32,2005,321
49,North,7,0.35,5.60,0.40,0.15,1.71,2005,321
50,North,7,0.30,4.85,0.50,0.05,1.78,2005,321
51,North,9,0.30,4.90,0.50,0.10,1.97,2005,321
52,North,8,0.30,5.05,0.55,0.10,1.84,2005,321
53,North,7,0.44,5.10,0.61,0.11,1.64,2005,321
54,North,6,0.40,5.05,0.40,0.05,1.58,2005,411
55,North,7,0.42,4.40,0.52,0.16,1.67,2005,411
56,North,6,0.25,5.35,0.45,0.15,1.69,2005,411
57,North,7,0.40,5.15,0.70,0.00,1.63,2005,411
58,North,6,0.48,5.05,0.62,0.00,1.52,2005,411
59,North,7,0.25,5.25,0.45,0.05,1.78,2005,411
60,North,8,0.25,5.40,0.20,0.35,1.96,2005,421
61,North,6,0.65,5.40,0.70,0.10,1.40,2005,421
62,North,8,0.45,4.50,0.55,0.05,1.72,2005,421
63,North,6,0.45,5.15,0.65,0.05,1.45,2005,421
64,North,6,0.21,4.85,0.25,0.15,1.72,2005,421
65,North,8,0.30,5.55,0.45,0.05,1.87,2005,421
1,South,8,0.50,3.25,0.35,0.30,1.92,2005,111
2,South,8,0.50,3.00,0.25,0.30,1.88,2005,111
3,South,6,0.50,3.57,0.52,0.33,1.64,2005,111
4,South,6,0.12,3.20,0.38,0.52,1.49,2005,111
5,South,8,0.21,2.86,0.21,0.53,1.90,2005,111
6,South,8,0.50,2.85,0.25,0.50,1.75,2005,111
7,South,10,0.35,3.35,0.25,0.30,2.14,2005,111
8,South,7,0.60,2.60,0.30,0.35,1.82,2005,111
9,South,7,0.52,3.00,0.31,0.31,1.77,2005,111
10,South,10,0.30,4.05,0.30,0.30,2.20,2005,121
11,South,9,0.55,2.30,0.15,0.55,1.86,2005,121
12,South,8,0.56,3.40,0.28,0.39,1.89,2005,121
13,South,7,0.57,2.76,0.28,0.48,1.75,2005,121
14,South,9,0.33,3.62,0.38,0.29,2.04,2005,121
15,South,7,0.50,3.25,0.35,0.40,1.81,2005,121
16,South,8,0.65,2.55,0.25,0.50,1.71,2005,121
17,South,7,0.62,2.76,0.38,0.43,1.65,2005,121
18,South,9,0.58,2.41,0.21,0.50,1.80,2005,211
19,South,7,0.60,3.25,0.45,0.35,1.71,2005,211
20,South,9,0.55,2.15,0.10,0.45,1.95,2005,211
21,South,7,0.65,2.75,0.25,0.40,2.08,2005,211
22,South,7,0.45,3.20,0.40,0.40,1.72,2005,211
23,South,9,0.40,2.65,0.20,0.25,2.13,2005,211
24,South,6,0.60,2.90,0.35,0.40,1.55,2005,211
25,South,6,0.65,2.45,0.30,0.55,1.50,2005,211
26,South,7,0.55,3.35,0.40,0.40,1.75,2005,211
27,South,8,0.40,3.55,0.35,0.40,1.95,2005,221
28,South,8,0.50,2.95,0.35,0.40,1.92,2005,221
29,South,8,0.55,2.55,0.10,0.60,1.86,2005,221
30,South,8,0.50,3.85,0.40,0.25,2.20,2005,221
31,South,7,0.35,3.05,0.20,0.45,1.83,2005,221
32,South,9,0.45,3.00,0.15,0.50,2.01,2005,221
33,South,7,0.56,3.28,0.33,0.44,1.78,2005,221
34,South,7,0.53,3.16,0.37,0.32,1.76,2005,221
35,South,8,0.25,3.35,0.13,0.13,1.89,2005,221
36,South,8,0.42,2.59,0.26,0.11,1.98,2005,311
37,South,8,0.75,3.05,0.20,0.55,1.83,2005,311
38,South,9,0.45,2.70,0.10,0.45,1.97,2005,311
39,South,7,0.40,4.15,0.50,0.25,2.09,2005,311
40,South,9,0.40,2.85,0.20,0.45,2.08,2005,311
41,South,7,0.60,2.95,0.30,0.30,1.74,2005,311
42,South,6,45.00,3.50,45.00,30.00,1.70,2005,311
43,South,9,0.50,3.20,0.35,0.35,1.80,2005,311
44,South,9,0.55,4.20,0.25,0.50,4.29,2005,311
45,South,7,0.60,3.20,0.45,0.40,1.73,2005,321
46,South,9,0.50,2.90,0.10,0.40,1.90,2005,321
47,South,8,0.25,3.20,0.15,0.40,1.39,2005,321
48,South,8,0.60,2.95,0.25,0.35,1.87,2005,321
49,South,7,0.70,2.30,0.20,0.50,1.68,2005,321
50,South,7,0.50,2.95,0.35,0.45,1.78,2005,321
51,South,9,0.40,2.40,0.20,0.25,2.04,2005,321
52,South,7,0.50,3.05,0.30,0.25,1.84,2005,321
53,South,6,0.47,3.11,0.32,0.42,1.61,2005,321
54,South,9,0.50,2.70,0.30,0.40,1.99,2005,411
55,South,8,0.50,3.15,0.45,0.30,1.84,2005,411
56,South,9,0.33,3.76,0.43,0.33,2.02,2005,411
57,South,7,0.40,3.90,0.50,0.20,1.83,2005,411
58,South,8,0.35,3.35,0.40,0.30,1.95,2005,411
59,South,8,0.29,3.50,0.38,0.38,2.05,2005,411
60,South,9,0.40,3.40,0.35,0.35,2.03,2005,421
61,South,9,0.60,0.00,0.25,0.50,1.90,2005,421
62,South,8,0.50,2.65,0.30,0.50,1.74,2005,421
63,South,6,0.58,2.16,0.21,0.58,1.66,2005,421
64,South,6,0.27,3.60,0.30,0.35,1.70,2005,421
65,South,8,0.15,2.80,0.25,0.45,1.98,2005,421
1,North,6,0.32,5.80,0.52,0.00,1.26,2007,112
2,North,7,0.40,5.05,0.55,0.05,1.70,2007,112
3,North,6,0.35,5.35,0.60,0.05,1.80,2007,112
4,North,5,0.20,5.50,0.50,0.00,1.54,2007,112
5,North,6,0.30,5.45,0.60,0.05,1.62,2007,112
6,North,5,0.35,6.10,0.40,0.00,1.36,2007,112
7,North,7,0.35,6.15,0.40,0.00,1.80,2007,112
8,North,6,0.45,5.40,0.60,0.00,1.52,2007,112
9,North,7,0.30,5.70,0.55,0.00,1.70,2007,122
10,North,8,0.30,5.30,0.50,0.05,2.32,2007,122
11,North,8,0.40,4.75,0.60,0.10,1.83,2007,122
12,North,6,0.35,5.60,0.45,0.10,1.64,2007,122
13,North,6,0.30,8.85,0.55,0.00,1.67,2007,122
14,North,7,0.15,5.85,0.45,0.00,3.03,2007,122
15,North,6,0.45,5.40,0.55,0.00,1.53,2007,122
16,North,8,0.20,4.45,0.40,0.05,1.61,2007,122
17,North,7,0.30,5.70,0.50,0.10,1.36,2007,212
18,North,6,0.35,5.50,0.50,0.00,1.57,2007,212
19,North,6,0.30,5.40,0.60,0.00,1.62,2007,212
20,North,6,0.25,6.00,0.45,0.00,1.71,2007,212
21,North,5,0.36,5.55,0.59,0.00,1.53,2007,212
22,North,6,0.30,5.95,0.40,0.00,1.71,2007,212
23,North,5,0.36,5.55,0.59,0.00,1.51,2007,212
24,North,7,0.35,5.30,0.65,0.05,1.66,2007,212
25,North,7,0.40,5.30,0.65,0.05,1.63,2007,212
26,North,5,0.38,6.00,0.58,0.00,1.45,2007,222
27,North,5,0.43,5.67,0.43,0.00,1.28,2007,222
28,North,6,0.38,5.46,0.42,0.00,1.53,2007,222
29,North,5,0.25,5.70,0.45,0.00,1.55,2007,222
30,North,5,0.35,6.00,0.45,0.00,1.43,2007,222
