Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon
1,North,7,0.32,4.08,0.20,0.32,1.72
2,North,8,0.36,5.68,0.00,0.32,1.84
3,North,8,0.36,4.44,0.04,0.28,1.83
4,North,8,0.40,4.88,0.40,0.08,1.79
5,North,7,0.32,4.16,0.08,0.32,1.78
6,North,9,0.20,4.60,0.32,0.12,1.99
7,North,8,0.36,5.00,0.56,0.08,1.81
8,North,7,0.16,4.76,0.28,0.08,1.89
9,North,7,0.36,5.00,0.60,0.04,1.69
10,North,8,0.20,4.56,0.28,0.20,1.80
11,North,8,0.32,5.04,0.52,0.12,1.81
12,North,6,0.36,5.28,0.60,0.00,1.60
1,North,6,0.20,5.00,0.32,0.00,1.76
2,North,6,0.32,5.36,0.60,0.00,1.60
3,North,8,0.28,5.32,0.28,0.12,1.92
4,North,7,0.20,5.24,0.44,0.04,1.76
5,North,7,0.35,3.87,0.13,0.26,1.76
6,North,7,0.24,5.16,0.40,0.08,1.76
7,North,8,0.28,4.52,0.36,0.08,1.89
8,North,8,0.52,5.20,0.68,0.08,1.08
9,North,6,0.42,4.00,0.21,0.25,1.83
10,North,7,0.40,4.40,0.56,0.08,1.70
11,North,7,0.28,5.44,0.56,0.04,1.71
12,North,7,0.28,4.72,0.04,0.08,1.72
1,North,7,0.00,3.92,0.08,0.00,1.53
2,North,8,0.64,4.60,0.44,0.24,2.00
3,North,8,0.36,4.16,0.32,0.04,1.77
4,North,9,0.24,4.60,0.16,0.32,0.96
5,North,8,0.20,4.50,0.08,0.20,1.90
6,North,8,0.08,3.64,0.00,0.08,1.49
7,North,9,0.32,4.36,0.36,0.16,2.03
8,North,7,0.34,5.58,0.54,0.00,1.67
9,North,7,0.00,5.62,0.27,0.08,1.80
10,North,9,0.10,4.50,0.05,0.20,1.71
1,North,8,0.19,5.35,0.31,0.15,1.99
2,North,7,0.20,5.36,0.52,0.80,1.78
3,North,8,0.16,4.28,0.28,0.40,1.79
4,North,6,0.36,4.72,0.56,0.00,1.55
5,North,8,0.44,4.40,0.60,0.40,1.66
6,North,6,0.44,4.68,0.56,0.40,1.51
7,North,7,0.16,5.44,0.56,0.40,1.72
8,North,8,0.28,4.72,0.44,0.12,1.88
9,North,6,0.28,4.52,0.28,0.32,2.28
10,North,7,0.36,5.12,0.48,0.04,1.73
11,North,8,0.40,4.16,0.48,0.08,1.83
12,North,8,0.24,4.72,0.44,0.08,1.73
1,South,7,0.64,2.28,0.12,0.48,1.60
2,South,8,0.56,2.96,0.20,0.28,1.89
3,South,8,0.64,2.84,0.28,0.44,1.80
4,South,9,0.48,3.24,0.28,0.36,2.04
5,South,6,0.76,1.80,0.08,0.68,1.53
6,South,9,0.52,2.72,0.24,0.40,1.94
7,South,9,0.48,3.68,0.40,0.32,2.04
8,South,8,0.52,2.60,0.24,0.40,1.99
9,South,8,0.48,3.52,0.40,0.32,1.96
10,South,7,0.52,2.68,0.20,0.52,1.62
11,South,8,0.56,3.60,0.32,0.32,1.95
12,South,9,0.32,2.64,0.50,0.40,2.02
1,South,5,0.48,3.12,0.21,0.44,1.53
2,South,6,0.66,2.72,0.75,0.46,1.50
3,South,8,0.24,2.88,0.16,0.16,1.89
4,South,9,0.60,3.00,0.24,0.16,1.93
5,South,8,0.56,3.09,0.39,0.13,1.81
6,South,8,0.44,2.72,0.40,0.12,2.02
7,South,8,0.54,2.54,0.19,0.42,1.90
8,South,10,0.50,2.87,0.25,0.33,2.12
9,South,11,0.52,2.60,0.16,0.28,1.39
10,South,7,0.48,2.80,0.28,0.40,1.81
11,South,8,0.56,2.56,0.20,0.40,1.90
12,South,6,0.56,3.04,0.04,0.08,1.65
1,South,6,0.28,2.88,0.00,0.32,1.57
2,South,9,0.40,4.24,0.28,0.32,1.96
3,South,5,0.60,2.52,0.24,0.40,1.46
4,South,8,0.64,2.20,0.04,0.16,1.00
5,South,9,0.36,4.40,0.24,0.28,1.98
6,South,9,0.56,3.32,0.08,0.12,1.81
7,South,8,0.52,2.84,0.28,0.32,1.99
8,South,7,0.62,3.28,0.04,0.16,1.78
9,South,8,0.53,3.81,0.31,0.27,1.80
10,South,7,0.65,1.96,0.08,0.52,1.48
1,South,8,0.54,3.35,0.38,0.38,1.86
2,South,7,0.52,2.92,0.28,0.36,1.90
3,South,5,0.52,2.84,0.28,0.16,1.48
4,South,6,0.52,3.12,0.02,0.48,1.64
5,South,9,0.44,3.80,0.24,0.24,1.92
6,South,9,0.48,2.80,0.24,0.48,2.05
7,South,8,0.56,2.76,0.24,0.24,1.94
8,South,8,0.64,2.24,0.24,0.32,2.40
9,South,8,0.44,2.72,0.04,0.32,2.57
10,South,9,0.48,3.32,0.28,0.40,2.04
11,South,7,0.60,3.28,0.48,0.36,1.70
12,South,8,0.60,2.80,0.28,0.32,1.91
