Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
1,North,6,0.36,5.84,0.64,0.0,1.51,2007
2,North,7,0.28,5.68,0.56,0.0,1.68,2007
3,North,5,0.33,5.9,0.45,0.0,1.46,2007
4,North,8,0.27,5.65,0.42,0.04,1.87,2007
5,North,5,0.24,5.8,0.48,0.0,1.58,2007
6,North,6,0.39,5.63,0.75,0.0,1.64,2007
7,North,7,0.28,5.48,0.44,0.04,1.8,2007
8,North,6,0.24,5.76,0.44,0.0,1.704,2007
9,North,7,0.24,5.44,0.44,0.0,1.84,2007
10,North,7,0.28,5.68,0.44,0.04,1.72,2007
11,North,6,0.4,5.52,0.72,0.0,1.1,2007
12,North,7,0.36,5.48,0.12,0.0,1.73,2007
13,North,6,0.16,5.64,0.44,0.08,1.64,2007
14,North,6,0.08,5.8,0.28,0.08,1.66,2007
15,North,6,0.32,4.68,0.2,0.32,1.63,2007
16,North,7,0.28,5.6,0.56,0.0,1.75,2007
17,North,7,0.32,5.0,0.64,0.04,1.69,2007
18,North,6,0.4,5.0,0.48,0.0,1.61,2007
19,North,6,0.32,4.52,0.16,0.32,1.68,2007
20,North,7,0.14,5.69,0.62,0.0,2.16,2007
21,North,7,0.08,4.16,0.48,0.08,1.75,2007
22,North,8,0.36,4.72,0.28,0.28,1.88,2007
23,North,6,0.23,5.96,0.38,0.04,1.67,2007
24,North,8,0.32,5.48,0.56,0.08,1.58,2007
25,North,8,0.2,5.12,0.72,0.4,1.87,2007
26,North,6,0.28,6.0,0.36,0.0,1.56,2007
27,North,6,0.4,5.72,0.76,0.04,1.51,2007
28,North,8,0.2,4.56,0.48,0.04,2.35,2007
29,North,6,0.36,4.6,0.08,0.28,1.63,2007
30,North,6,0.28,5.64,0.48,0.04,1.16,2007
31,North,6,0.44,5.08,0.28,0.04,1.37,2007
32,North,7,0.32,5.12,0.08,0.36,1.5,2007
33,North,7,0.32,4.72,0.4,0.0,1.68,2007
34,North,6,0.33,5.3,0.42,0.0,1.61,2007
35,North,9,0.17,5.3,0.25,0.04,2.05,2007
36,North,6,0.32,5.24,0.24,0.0,1.61,2007
37,North,6,0.4,5.52,0.6,0.0,1.52,2007
38,North,7,0.16,5.52,0.4,0.12,1.75,2007
39,North,6,0.32,6.0,0.48,0.0,1.6,2007
40,North,5,0.36,5.76,0.52,0.0,1.5,2007
41,North,7,0.32,5.0,0.68,0.04,1.86,2007
42,North,9,0.05,0.05,0.03,0.1,2.08,2007
43,North,7,0.2,5.28,0.4,0.04,1.72,2007
44,North,7,0.48,4.12,0.16,0.36,0.65,2007
45,North,7,0.36,5.32,0.56,0.04,1.7,2007
46,North,6,0.28,7.08,0.4,0.0,1.62,2007
47,North,6,0.33,5.75,0.42,0.0,1.57,2007
48,North,6,0.28,5.76,0.64,0.0,1.55,2007
49,North,8,0.2,5.4,0.4,0.08,0.96,2007
50,North,8,0.42,5.3,0.63,0.13,1.72,2007
51,North,7,0.36,5.6,0.48,0.04,1.64,2007
52,North,7,0.36,5.32,0.56,0.04,1.7,2007
53,North,6,0.32,5.4,0.68,0.04,1.48,2007
54,North,5,0.31,6.0,0.31,0.0,1.46,2007
55,North,5,0.46,5.87,0.33,0.0,1.54,2007
56,North,7,0.16,5.6,0.64,0.0,1.69,2007
57,North,6,0.28,4.68,0.2,0.32,1.61,2007
58,North,8,0.36,4.88,0.36,0.12,1.99,2007
59,North,5,0.4,5.28,0.4,0.0,1.47,2007
60,North,9,0.36,5.28,0.4,0.12,1.95,2007
61,North,7,0.24,5.72,0.52,0.0,1.78,2007
62,North,7,0.28,5.08,0.64,0.08,1.64,2007
63,North,6,0.36,5.52,0.72,0.0,1.58,2007
64,North,5,0.36,5.76,0.52,0.0,1.34,2007
65,North,7,0.28,5.84,0.48,0.0,1.16,2007
66,North,9,0.28,4.52,0.16,0.16,2.15,2007
67,North,8,0.44,5.2,0.48,0.04,1.63,2007
68,North,10,0.39,5.18,0.53,0.07,1.86,2007
69,North,6,0.33,5.2,0.33,0.13,1.71,2007
70,North,7,0.12,5.36,0.2,0.04,1.84,2007
71,North,8,0.28,4.36,0.36,0.32,1.72,2007
72,North,8,0.28,5.12,0.24,0.12,2.17,2007
73,North,8,0.27,5.4,0.37,0.2,1.8,2007
74,North,9,0.08,4.56,0.2,0.24,2.7,2007
75,North,5,0.2,5.84,0.52,0.0,1.65,2007
76,North,7,0.32,4.28,0.12,0.28,1.01,2007
77,North,8,0.4,4.92,0.4,0.16,1.83,2007
78,North,9,0.3,4.43,0.4,0.6,2.14,2007
79,North,7,0.29,5.63,0.54,0.0,1.82,2007
80,North,6,0.4,5.8,0.44,0.0,1.41,2007
81,North,7,0.3,5.74,0.23,0.04,1.8,2007
82,North,6,0.24,5.32,0.32,0.0,1.66,2007
83,North,6,0.16,7.56,0.44,0.0,1.65,2007
84,North,7,0.42,5.54,0.63,0.0,1.59,2007
1,South,8,0.48,2.8,0.2,0.36,2.01,2007
2,South,8,0.56,2.4,0.28,0.56,1.83,2007
3,South,8,0.44,2.72,0.4,0.32,1.88,2007
4,South,8,0.24,2.8,0.24,0.4,1.91,2007
5,South,7,0.56,2.28,0.2,0.56,1.81,2007
6,South,7,0.6,3.16,0.4,0.36,1.72,2007
7,South,7,0.76,2.72,0.44,0.48,1.51,2007
8,South,6,0.72,2.92,0.48,0.48,1.41,2007
9,South,8,0.48,2.64,0.2,0.48,1.841,2007
10,South,8,0.42,3.23,0.27,0.39,1.91,2007
11,South,7,0.52,2.8,0.08,0.48,1.76,2007
12,South,10,0.06,4.04,0.12,0.12,2.02,2007
13,South,8,0.36,2.96,0.28,0.6,1.74,2007
14,South,8,0.4,3.36,0.04,0.28,1.9,2007
15,South,6,0.48,2.64,0.16,0.64,1.47,2007
16,South,7,0.64,3.08,0.36,0.32,1.84,2007
17,South,8,0.56,2.84,0.4,0.16,1.83,2007
18,South,8,0.56,2.88,0.32,0.44,1.79,2007
19,South,8,0.56,2.6,0.4,0.52,1.81,2007
20,South,8,0.58,2.5,0.13,0.5,1.74,2007
21,South,8,0.44,2.76,0.08,0.44,1.88,2007
22,South,6,0.76,1.86,0.04,0.66,1.13,2007
23,South,9,0.6,3.04,0.6,0.4,1.91,2007
24,South,6,0.68,2.48,0.36,0.52,3.2,2007
25,South,7,0.2,2.8,0.16,0.16,1.52,2007
26,South,8,0.64,3.2,0.28,0.36,1.77,2007
27,South,7,0.64,3.12,0.0,0.4,1.71,2007
28,South,8,0.44,3.44,0.12,0.4,1.96,2007
29,South,7,0.36,2.12,0.04,0.8,1.62,2007
30,South,8,0.56,2.68,0.32,0.16,2.05,2007
31,South,9,0.64,2.8,0.36,0.44,1.81,2007
32,South,5,0.56,3.68,0.12,0.56,1.52,2007
33,South,9,0.4,3.84,0.24,0.4,2.0,2007
34,South,10,0.48,2.68,0.2,0.44,2.4,2007
35,South,6,0.58,2.8,0.29,0.46,1.61,2007
36,South,8,0.5,2.73,0.27,0.46,1.89,2007
37,South,9,0.48,2.68,0.2,0.44,2.04,2007
38,South,9,0.65,2.74,0.35,0.39,1.9,2007
39,South,8,0.56,2.6,0.28,0.52,1.8,2007
40,South,8,0.25,2.52,0.24,0.6,1.83,2007
41,South,7,0.72,2.92,0.48,0.44,3.68,2007
42,South,7,0.78,1.91,0.13,0.04,1.49,2007
